Class,Weak,ResNet50,EfficientNetB0,MobileNetV3,Average
Benign_tumors,WEAK,78.8,79.5,75.6,78.0
Tinea,WEAK,81.6,82.4,81.8,81.9
Psoriasis,WEAK,86.0,87.3,86.3,86.5
SkinCancer,WEAK,88.1,88.8,86.0,87.6
Actinic_Keratosis,,89.1,87.4,87.0,87.8
Eczema,,89.8,89.2,89.0,89.3
Vascular_Tumors,,90.6,90.1,88.0,89.6
Infestations_Bites,,91.6,90.6,90.3,90.8
Bullous,,91.4,93.0,91.7,92.0
DrugEruption,,92.5,92.1,91.6,92.1
Vasculitis,,93.7,94.7,93.4,93.9
Sun_Sunlight_Damage,,94.9,95.2,93.5,94.5
Lichen,,94.4,95.5,95.9,95.3
Warts,,95.6,97.2,94.3,95.7
Seborrh_Keratoses,,96.6,96.6,95.8,96.3
Moles,,97.2,96.5,96.8,96.8
Unknown_Normal,,96.7,96.8,96.9,96.8
Lupus,,98.3,97.0,95.8,97.0
Candidiasis,,97.6,97.9,95.7,97.1
Acne,,97.6,98.0,97.4,97.7
Vitiligo,,97.9,98.0,97.6,97.8
Rosacea,,98.2,99.4,99.4,99.0
