Condition,Accuracy(%),Precision,Recall,F1-Score,Support
acne,100.0,1.0,1.0,1.0,3
actinic_keratosis,100.0,1.0,1.0,1.0,3
benign_tumors,100.0,1.0,1.0,1.0,3
bullous,100.0,1.0,1.0,1.0,3
candidiasis,100.0,0.75,1.0,0.8571,3
drug_eruption,66.7,0.6667,0.6667,0.6667,3
eczema,100.0,1.0,1.0,1.0,3
infestations_bites,100.0,0.75,1.0,0.8571,3
lichen,66.7,1.0,0.6667,0.8,3
lupus,66.7,0.6667,0.6667,0.6667,3
moles,100.0,1.0,1.0,1.0,3
psoriasis,100.0,0.75,1.0,0.8571,3
rosacea,66.7,1.0,0.6667,0.8,3
seborrh_keratoses,100.0,0.75,1.0,0.8571,3
skin_cancer,100.0,1.0,1.0,1.0,3
sun_sunlight_damage,100.0,0.75,1.0,0.8571,3
tinea,66.7,1.0,0.6667,0.8,3
unknown_normal,100.0,1.0,1.0,1.0,3
vascular_tumors,66.7,1.0,0.6667,0.8,3
vasculitis,100.0,0.75,1.0,0.8571,3
vitiligo,66.7,1.0,0.6667,0.8,3
warts,66.7,1.0,0.6667,0.8,3
